2017-Jun-15 22:52:01.380868 Starting Circus
2017-Jun-15 22:52:01.384870 Ensuring database ../Data/capublic.db exists
2017-Jun-15 22:52:01.388873 Skipping database import 
2017-Jun-15 22:52:01.390875 Selecting all versions of all bills
2017-Jun-15 22:52:20.664363 All versions of all bills selected: 00:00:19.273488
2017-Jun-15 22:52:20.664363 Selecting most recent version of all bills
2017-Jun-15 22:59:49.831847 Most recent version of all bills selected: 00:07:29.167484
2017-Jun-15 23:00:16.863342 Selecting all unevaluated bill versions
2017-Jun-15 23:00:32.738915 Unevaluated bills selected: 00:00:15.875573
2017-Jun-15 23:00:41.824094 Starting Rankings
2017-Jun-15 23:43:40.150089 AB 603 Negative = 44, Positive = 0
2017-Jun-15 23:43:41.806356 AB 605 Negative = 33, Positive = 0
2017-Jun-15 23:43:43.462636 AB 606 Negative = 0, Positive = 0
2017-Jun-15 23:44:04.072194 AB 607 Negative = 77, Positive = 11
2017-Jun-15 23:44:11.056620 AB 608 Negative = 9, Positive = 0
2017-Jun-15 23:44:11.416012 AB 610 Negative = 0, Positive = 0
2017-Jun-15 23:44:15.228535 AB 611 Negative = 53, Positive = 0
2017-Jun-15 23:44:16.478545 AB 613 Negative = 9, Positive = 0
2017-Jun-15 23:44:17.056677 AB 614 Negative = 11, Positive = 0
2017-Jun-15 23:44:18.681691 AB 615 Negative = 7, Positive = 0
2017-Jun-15 23:44:21.634874 AB 619 Negative = 0, Positive = 10
2017-Jun-15 23:44:23.056731 AB 620 Negative = 141, Positive = 0
2017-Jun-15 23:44:25.275502 AB 621 Negative = 0, Positive = 0
2017-Jun-15 23:44:26.791140 AB 623 Negative = 0, Positive = 20
2017-Jun-15 23:44:29.072440 AB 624 Negative = 0, Positive = 10
2017-Jun-15 23:44:31.525569 AB 626 Negative = 33, Positive = 2
2017-Jun-15 23:44:32.181815 AB 629 Negative = 0, Positive = 0
2017-Jun-15 23:44:34.338084 AB 632 Negative = 0, Positive = 20
2017-Jun-15 23:44:35.728733 AB 633 Negative = 0, Positive = 0
2017-Jun-15 23:44:40.744405 AB 634 Negative = 0, Positive = 0
2017-Jun-15 23:44:42.853787 AB 636 Negative = 0, Positive = 0
2017-Jun-15 23:44:43.572601 AB 638 Negative = 0, Positive = 0
2017-Jun-15 23:44:44.119425 AB 643 Negative = 0, Positive = 0
2017-Jun-15 23:44:50.838234 AB 644 Negative = 6, Positive = 0
2017-Jun-15 23:44:51.400770 AB 646 Negative = 0, Positive = 0
2017-Jun-15 23:44:52.619512 AB 647 Negative = 0, Positive = 0
2017-Jun-15 23:44:53.135141 AB 653 Negative = 0, Positive = 0
2017-Jun-15 23:44:55.494539 AB 654 Negative = 108, Positive = 0
2017-Jun-15 23:45:02.713342 AB 655 Negative = 12, Positive = 0
2017-Jun-15 23:45:05.603993 AB 657 Negative = 0, Positive = 0
2017-Jun-15 23:45:05.979054 AB 660 Negative = 0, Positive = 0
2017-Jun-15 23:45:08.291530 AB 662 Negative = 35, Positive = 20
2017-Jun-15 23:45:13.135313 AB 663 Negative = 6, Positive = 0
2017-Jun-15 23:45:15.244708 AB 665 Negative = 183, Positive = 20
2017-Jun-15 23:45:16.338478 AB 668 Negative = 0, Positive = 0
2017-Jun-15 23:45:16.682231 AB 671 Negative = 0, Positive = 0
2017-Jun-15 23:45:17.307226 AB 672 Negative = 0, Positive = 0
2017-Jun-15 23:45:19.822872 AB 673 Negative = 3, Positive = 20
2017-Jun-15 23:45:20.432265 AB 675 Negative = 11, Positive = 0
2017-Jun-15 23:45:26.291694 AB 676 Negative = 246, Positive = 1
2017-Jun-15 23:45:31.088615 AB 677 Negative = 161, Positive = 10
2017-Jun-15 23:45:46.526243 AB 678 Negative = 28, Positive = 0
2017-Jun-15 23:45:47.463750 AB 679 Negative = 0, Positive = 0
2017-Jun-15 23:45:48.432522 AB 681 Negative = 4, Positive = 0
2017-Jun-15 23:45:52.213794 AB 682 Negative = 83, Positive = 0
2017-Jun-15 23:45:54.713817 AB 683 Negative = 108, Positive = 0
2017-Jun-15 23:45:56.557583 AB 684 Negative = 0, Positive = 0
2017-Jun-15 23:46:02.932659 AB 686 Negative = 301, Positive = 0
2017-Jun-15 23:46:03.526398 AB 688 Negative = 0, Positive = 0
2017-Jun-15 23:46:12.026486 AB 689 Negative = 511, Positive = 20
2017-Jun-15 23:46:20.917238 AB 690 Negative = 3, Positive = 0
2017-Jun-15 23:46:23.589081 AB 692 Negative = 0, Positive = 0
2017-Jun-15 23:46:24.604715 AB 693 Negative = 0, Positive = 1
2017-Jun-15 23:46:28.417310 AB 697 Negative = 0, Positive = 0
2017-Jun-15 23:46:34.261065 AB 699 Negative = 132, Positive = 50
2017-Jun-15 23:46:40.057981 AB 700 Negative = 669, Positive = 0
2017-Jun-15 23:46:42.823692 AB 701 Negative = 2, Positive = 0
2017-Jun-15 23:46:59.730035 AB 702 Negative = 14, Positive = 20
2017-Jun-15 23:47:04.839457 AB 705 Negative = 7, Positive = 0
2017-Jun-15 23:47:07.651993 AB 707 Negative = 16, Positive = 0
2017-Jun-15 23:47:08.339488 AB 708 Negative = 14, Positive = 0
2017-Jun-15 23:47:09.886389 AB 709 Negative = 7, Positive = 0
